PTVlab 2010 by W.Th. & E.J.S., ASCII chart output - 30-Jul-2012
FRAME: 1, filenames: A: EXP2186.jpg & B: EXP2187.jpg, conversion factor xy (px -> m/s): 1, conversion factor uv (px/im.pair -> m/s): 1
x,y,u,v,vorticity
1,1,NaN,NaN,NaN
1,11,NaN,NaN,NaN
1,21,NaN,NaN,NaN
1,31,NaN,NaN,NaN
1,41,NaN,NaN,NaN
1,51,NaN,NaN,NaN
1,61,NaN,NaN,NaN
1,71,NaN,NaN,NaN
1,81,NaN,NaN,NaN
1,91,NaN,NaN,NaN
1,101,NaN,NaN,NaN
1,111,NaN,NaN,NaN
1,121,NaN,NaN,NaN
1,131,NaN,NaN,NaN
1,141,NaN,NaN,NaN
1,151,NaN,NaN,NaN
1,161,NaN,NaN,NaN
1,171,NaN,NaN,NaN
1,181,NaN,NaN,NaN
1,191,NaN,NaN,NaN
1,201,NaN,NaN,NaN
1,211,NaN,NaN,NaN
1,221,NaN,NaN,NaN
1,231,NaN,NaN,NaN
1,241,NaN,NaN,NaN
1,251,NaN,NaN,NaN
1,261,NaN,NaN,NaN
1,271,NaN,NaN,NaN
1,281,NaN,NaN,NaN
1,291,NaN,NaN,NaN
1,301,NaN,NaN,NaN
1,311,NaN,NaN,NaN
1,321,NaN,NaN,NaN
1,331,NaN,NaN,NaN
1,341,NaN,NaN,NaN
1,351,NaN,NaN,NaN
1,361,NaN,NaN,NaN
1,371,NaN,NaN,NaN
1,381,NaN,NaN,NaN
1,391,NaN,NaN,NaN
1,401,NaN,NaN,NaN
1,411,NaN,NaN,NaN
1,421,NaN,NaN,NaN
1,431,NaN,NaN,NaN
1,441,NaN,NaN,NaN
1,451,NaN,NaN,NaN
1,461,NaN,NaN,NaN
1,471,NaN,NaN,NaN
1,481,NaN,NaN,NaN
1,491,NaN,NaN,NaN
1,501,NaN,NaN,NaN
1,511,NaN,NaN,NaN
1,521,NaN,NaN,NaN
1,531,NaN,NaN,NaN
1,541,NaN,NaN,NaN
1,551,NaN,NaN,NaN
1,561,NaN,NaN,NaN
1,571,NaN,NaN,NaN
1,581,NaN,NaN,NaN
1,591,NaN,NaN,NaN
1,601,NaN,NaN,NaN
1,611,NaN,NaN,NaN
1,621,NaN,NaN,NaN
1,631,NaN,NaN,NaN
1,641,NaN,NaN,NaN
1,651,NaN,NaN,NaN
1,661,NaN,NaN,NaN
1,671,NaN,NaN,NaN
1,681,NaN,NaN,NaN
1,691,NaN,NaN,NaN
1,701,NaN,NaN,NaN
1,711,NaN,NaN,NaN
11,1,NaN,NaN,NaN
11,11,NaN,NaN,NaN
11,21,NaN,NaN,NaN
11,31,NaN,NaN,NaN
11,41,NaN,NaN,NaN
11,51,NaN,NaN,NaN
11,61,NaN,NaN,NaN
11,71,NaN,NaN,NaN
11,81,NaN,NaN,NaN
11,91,NaN,NaN,NaN
11,101,NaN,NaN,NaN
11,111,NaN,NaN,NaN
11,121,NaN,NaN,NaN
11,131,NaN,NaN,NaN
11,141,NaN,NaN,NaN
11,151,NaN,NaN,NaN
11,161,NaN,NaN,NaN
11,171,NaN,NaN,NaN
11,181,NaN,NaN,NaN
11,191,NaN,NaN,NaN
11,201,NaN,NaN,NaN
11,211,NaN,NaN,NaN
11,221,NaN,NaN,NaN
11,231,NaN,NaN,NaN
11,241,NaN,NaN,NaN
11,251,NaN,NaN,NaN
11,261,NaN,NaN,NaN
11,271,NaN,NaN,NaN
11,281,NaN,NaN,NaN
11,291,NaN,NaN,NaN
11,301,NaN,NaN,NaN
11,311,NaN,NaN,NaN
11,321,NaN,NaN,NaN
11,331,NaN,NaN,NaN
11,341,NaN,NaN,NaN
11,351,NaN,NaN,NaN
11,361,NaN,NaN,NaN
11,371,NaN,NaN,NaN
11,381,NaN,NaN,NaN
11,391,NaN,NaN,NaN
11,401,NaN,NaN,NaN
11,411,NaN,NaN,NaN
11,421,NaN,NaN,NaN
11,431,NaN,NaN,NaN
11,441,NaN,NaN,NaN
11,451,NaN,NaN,NaN
11,461,NaN,NaN,NaN
11,471,NaN,NaN,NaN
11,481,NaN,NaN,NaN
11,491,NaN,NaN,NaN
11,501,NaN,NaN,NaN
11,511,NaN,NaN,NaN
11,521,NaN,NaN,NaN
11,531,NaN,NaN,NaN
11,541,NaN,NaN,NaN
11,551,NaN,NaN,NaN
11,561,NaN,NaN,NaN
11,571,NaN,NaN,NaN
11,581,NaN,NaN,NaN
11,591,NaN,NaN,NaN
11,601,NaN,NaN,NaN
11,611,NaN,NaN,NaN
11,621,NaN,NaN,NaN
11,631,NaN,NaN,NaN
11,641,NaN,NaN,NaN
11,651,NaN,NaN,NaN
11,661,NaN,NaN,NaN
11,671,NaN,NaN,NaN
11,681,NaN,NaN,NaN
11,691,NaN,NaN,NaN
11,701,NaN,NaN,NaN
11,711,NaN,NaN,NaN
21,1,NaN,NaN,NaN
21,11,NaN,NaN,NaN
21,21,NaN,NaN,NaN
21,31,NaN,NaN,NaN
21,41,NaN,NaN,NaN
21,51,NaN,NaN,NaN
21,61,NaN,NaN,NaN
21,71,NaN,NaN,NaN
21,81,NaN,NaN,NaN
